Sample,YrBP,Abies,Acer,Alnus,Betula,Carya,Corylus,Cupressaceae,Fagus,Fraxinus,Larix,Ostrya.Carpinus,Picea,Pinus,Quercus,Tilia,Tsuga,Ulmus,Amaranthaceae,Ambrosia,Artemisia,Asteraceae,Poaceae
site_10316_15660_46,4500,0.003758977,0.022603054,0,0.388752025,0.003744812,0.000855468,0,0.003963103,0,0.000495965,0.019622067,0.006716337,0.434954725,0.067927737,0.000643159,0.007864899,0.014497406,0,0.007973846,0.010218238,0.000601782,0.004806399
site_10316_15660_47,4600,0.002765541,0.024046405,0,0.391347938,0.004156483,0.000975636,0,0.003422691,0,0.000576986,0.017013427,0.006509508,0.428230178,0.073290079,0.000502024,0.0088057,0.015785372,0,0.009020548,0.008610915,0.000375488,0.004565081
site_10316_15660_48,4700,0.00239339,0.027676907,0,0.391518641,0.00364014,0.001130813,0,0.004086187,0,0.000827504,0.014179924,0.005794848,0.418880272,0.079991504,0.000303309,0.010272449,0.015607421,0,0.010911615,0.00767226,0.000425531,0.004687285
site_10316_15660_49,4800,0.002623336,0.031283494,0,0.387752352,0.002328159,0.001607046,0,0.004819855,0,0.001372446,0.01097177,0.005335148,0.410981301,0.087317671,1.43E-05,0.011786523,0.015318689,0,0.013872357,0.006760966,0.001051688,0.00480288
site_10316_15660_50,4900,0.003348167,0.033089534,0,0.384841519,0.001365299,0.002411152,0,0.005159668,0,0.001877354,0.010639673,0.005301842,0.40534226,0.090479991,0,0.012444698,0.014062879,0,0.01561259,0.00730762,0.001803004,0.004912751
site_10316_15660_51,5000,0.003639192,0.033980829,0,0.382947426,0.000930872,0.003246557,0,0.005653157,0,0.002257777,0.012620149,0.00510307,0.397643494,0.091822591,0,0.013081039,0.013257867,0,0.01569894,0.009564676,0.002668267,0.005884096
site_10316_15660_52,5100,0.003754241,0.034139644,0,0.380521887,0.000604032,0.004035983,0,0.005954813,0,0.002625432,0.014434274,0.00508927,0.392349359,0.092593347,0,0.013702168,0.01285691,0,0.015737747,0.011408875,0.003385507,0.006806511
site_10316_15660_53,5200,0.003325954,0.032426657,0,0.375998633,0.000750073,0.004841848,0,0.005024973,0,0.00324073,0.015691199,0.005724417,0.393447814,0.091523112,0.000113648,0.013984414,0.014797234,0,0.015397196,0.012323951,0.003756264,0.007631883
site_10316_15660_54,5300,0.002873054,0.032431927,0,0.369157189,0.001018668,0.005248726,0,0.004177404,0,0.003970213,0.016435603,0.006804402,0.396767714,0.090667556,0.000364173,0.013946379,0.016441596,0,0.01395393,0.013429977,0.003647225,0.008664264
site_10316_15660_55,5400,0.002352159,0.033650817,0,0.352833484,0.001360398,0.005351001,0,0.003587963,0,0.004659022,0.01781581,0.007691061,0.408072543,0.089986949,0.000651661,0.014375196,0.018268967,0,0.012102337,0.014430756,0.003418315,0.00939156
site_10316_15660_56,5500,0.002023502,0.035566181,0,0.326057059,0.001492496,0.004727536,0,0.003406682,0,0.005093085,0.019300368,0.008117136,0.429889096,0.090860625,0.000991535,0.015232555,0.020295181,0,0.01102984,0.013857651,0.002910372,0.009149103
site_10316_15660_57,5600,0.001850635,0.039228963,0,0.285112333,0.001756031,0.003865186,0,0.003632467,0,0.005054462,0.019576461,0.008311051,0.460151524,0.093999854,0.001256738,0.019445852,0.022129706,0,0.010361065,0.013497389,0.00240458,0.008365703
site_10316_15660_58,5700,0.00185115,0.043270153,0,0.253033248,0.002029405,0.00305304,0,0.004478713,0,0.004512689,0.019499657,0.007779106,0.483579799,0.096407,0.00125554,0.02403686,0.022296964,0,0.009876263,0.01356351,0.002141398,0.007335507
site_10316_15660_59,5800,0.001722005,0.04470034,0,0.225260746,0.002125946,0.00255139,0,0.005157972,0,0.003346556,0.019526386,0.006673646,0.502861614,0.0956501,0.000896475,0.035463536,0.022395874,0,0.009802372,0.013344636,0.002206884,0.006313522
site_10316_15660_60,5900,0.001836192,0.044143867,0,0.204432466,0.001979309,0.002298112,0,0.005362255,0,0.002247287,0.018566456,0.006451866,0.512086956,0.09558389,0.000595122,0.050453228,0.02293404,0,0.009809012,0.013050413,0.002298112,0.005871417
site_10316_15660_61,6000,0.001938111,0.042909643,0,0.194698899,0.001840405,0.002364178,0,0.005216141,0,0.001431268,0.016895137,0.006702819,0.513146568,0.095175596,0.000335067,0.062995043,0.023194613,0,0.009808522,0.01305324,0.002364178,0.005930572
site_10316_15660_62,6100,0.001732556,0.038492946,0,0.184309453,0.001600879,0.00215225,0,0.00456401,0,0.000761855,0.017165853,0.006711475,0.521197238,0.091319575,0.000114054,0.076390818,0.023154308,0,0.009689079,0.012356396,0.00215225,0.006135005
site_10316_15660_63,6200,0.001501056,0.032773166,0,0.17252032,0.001250517,0.002032203,0,0.003685802,0,0.000760947,0.017966912,0.006453771,0.532825551,0.088112729,0,0.086018668,0.025164294,0,0.009740355,0.011076117,0.001802403,0.00631519
site_10316_15660_64,6300,0.001351329,0.027072146,0,0.155712409,0.001003358,0.002289304,0,0.002881849,0,0.001590762,0.018580577,0.006010458,0.55180869,0.089118913,0,0.086368885,0.026924184,0,0.010551742,0.010767511,0.001636516,0.006331367
